Model,RMSE,MAE,RMSE_Improvement,MAE_Improvement
TwoTower,0.9394687974423096,0.7389617469072342,34.7591112887285,30.286627650260932
NCF,0.9461812246483768,0.7507678989589215,34.292970510529386,29.17283972085647
NeuMF,0.9478985118713587,0.7481682250380516,34.17371445337787,29.418091977542304
Item-Based CF,1.33,0.94,7.638888888888881,11.320754716981142
User-Based CF,1.44,1.06,0.0,0.0
